timestamp_ms,ecg_u8_raw,ecg_counts_raw_int,ecg_counts_filt_monitor,ecg_counts_filt_diagnostic,ecg_counts_filt_st
1769250031040,167,39,38.31175454923128,34.38943720419575,33.393312858241025
1769250031044,172,44,41.72736029562381,39.862077024925995,36.79830368343785
1769250031048,164,36,34.53194565773239,31.161123655391503,29.619311807050277
1769250031052,145,17,18.795491173528607,12.620733833248476,13.922653497888431
1769250031056,126,-2,0.1694119300289838,-6.63782575463276,-4.654124724756173
1769250031060,111,-17,-15.164566177365806,-21.198695365632215,-19.951446216671275
1769250031064,104,-24,-23.500425576903403,-28.3263524386926,-28.281713202767005
1769250031068,104,-24,-24.757105270391644,-28.56260320524404,-29.56403376603907
1769250031072,107,-21,-21.485094948539427,-25.53746747909864,-26.32878879338207
1769250031076,111,-17,-16.843493242288005,-21.500307790282033,-21.70886528963015
1769250031080,114,-14,-12.9845296292622,-18.27417889686887,-17.842522383117604
1769250031084,116,-12,-10.593716694325469,-16.188709578877404,-15.421340797429009
1769250031088,118,-10,-9.377800837634428,-14.608239593533677,-14.171234175242963
1769250031092,119,-9,-8.79108130524509,-13.403420632415342,-13.564260440457783
1769250031096,120,-8,-8.448430872728345,-12.613212197179124,-13.220288546583458
1769250031100,119,-9,-8.15941036446141,-13.063490506359935,-12.9400442212331
1769250031104,119,-9,-7.8346502480612354,-13.339911416223307,-12.620544667552004
1769250031108,120,-8,-7.453906910092711,-12.334283816619324,-12.234492046559808
1769250031112,121,-7,-7.064709823536467,-11.615936751878795,-11.832745855039056
1769250031116,121,-7,-6.721557948142433,-11.349150737454796,-11.47756189202966
1769250031120,121,-7,-6.400056970352681,-11.243248473923392,-11.148505256048583
1769250031124,121,-7,-5.996338193782513,-11.108121317948315,-10.739771860823852
1769250031128,122,-6,-5.428678641691102,-10.444639990796889,-10.16617580031477
1769250031132,123,-5,-4.728483081195537,-9.458706228764267,-9.45855345166181
1769250031136,124,-4,-4.016326674643782,-8.422332184624448,-8.739352033132944
1769250031140,124,-4,-3.3946696856576737,-8.114353894435109,-8.111775198419071
1769250031144,124,-4,-2.8806794773505926,-8.15603872116374,-7.591320284554672
1769250031148,125,-3,-2.438146328479597,-7.31639213982507,-7.1403541113331555
1769250031152,126,-2,-2.0405417689184677,-6.5118031419739735,-6.733567223205924
1769250031156,126,-2,-1.6797986579540225,-6.303676551236327,-6.365171299798736
1769250031160,126,-2,-1.3340251295705,-6.154303079866558,-6.013412533097084
1769250031164,126,-2,-0.9642628413236068,-6.048289124455915,-5.6372386780424515
1769250031168,127,-1,-0.549084663147805,-5.3461444228134685,-5.213889503928666
1769250031172,128,0,-0.096451970352851,-4.406240295765205,-4.752379133500659
1769250031176,128,0,0.3928906308420385,-4.333488201890452,-4.255074484309354
1769250031180,128,0,0.9555071683086948,-4.058230400060047,-3.685374055006613
1769250031184,129,1,1.636882897619198,-3.0596104397802533,-2.9965586235660693
1769250031188,130,2,2.435705259665564,-2.2890416331072423,-2.1894560075075504
1769250031192,131,3,3.2917016557011634,-1.3518533778344413,-1.3250772211402728
1769250031196,132,4,4.1325472872327484,-0.3447055239034668,-0.4764099536948845
1769250031200,132,4,4.925394324427005,0.0628293664628083,0.3240585313365376
1769250031204,133,5,5.68015971446166,0.8378436312035631,1.08698068774302
1769250031208,134,6,6.412278753639043,1.9358212880832315,1.8277944173855976
1769250031212,135,7,7.1129256638919465,2.446569972965289,2.536984491207387
1769250031216,135,7,7.754174581041534,2.995846986085075,3.18617670332116
1769250031220,136,8,8.315527760384667,3.7431879181494656,3.75515250135252
1769250031224,136,8,8.80445321832547,4.254521853673407,4.252119127399259
1769250031228,137,9,9.25363913048601,4.568876479289803,4.710405181412253
1769250031232,137,9,9.694830834652844,4.898826055965608,5.161615642980396
1769250031236,138,10,10.128064945754671,5.637787809990239,5.604593359570265
1769250031240,138,10,10.50731442641751,6.144005467486532,5.9920537290670115
1769250031244,138,10,10.74057079444895,5.95751365900726,6.232159126197309
1769250031248,138,10,10.69252363981182,5.879677074524572,6.191108625794193
1769250031252,138,10,10.205587814190883,5.732604409670748,5.712408345098115
1769250031256,137,9,9.166960123978974,4.808722856053727,4.6829682842150175
1769250031260,135,7,7.598028225180639,3.12385337898543,3.1235102976943923
1769250031264,133,5,5.687841982460631,0.9612535166516992,1.2230944037217548
1769250031268,131,3,3.724019613383547,-0.9828572744687922,-0.7305124410767116
1769250031272,130,2,1.9673028358037203,-2.396796033406291,-2.477199774258418
1769250031276,128,0,0.5596983010496923,-3.906948111851131,-3.875920339835507
1769250031280,127,-1,-0.489333884229278,-5.145810607263184,-4.917317582544705
1769250031284,126,-2,-1.259330295954876,-5.651942838349766,-5.679999249762096
1769250031288,126,-2,-1.8587767323225393,-6.34809494635554,-6.271411072650126
1769250031292,125,-3,-2.3752730349693647,-6.941680572056908,-6.778792510167917
1769250031296,125,-3,-2.846719928706657,-7.260093851670267,-7.240393701569252
1769250031300,124,-4,-3.2545939051389943,-7.765406111466631,-7.638268132025525
1769250031304,124,-4,-3.536226705471208,-7.8989522712929245,-7.910043994661598
1769250031308,124,-4,-3.6129141891406937,-8.125343515453487,-7.9769830925213085
1769250031312,124,-4,-3.425957270450713,-8.00164381535189,-7.780477382969008
1769250031316,125,-3,-2.964113528254528,-7.188740004146428,-7.309715040725494
1769250031320,125,-3,-2.2695515169795564,-6.703773303993618,-6.607039243630057
1769250031324,126,-2,-1.4259827740465854,-5.9350231914310125,-5.755483241056333
1769250031328,127,-1,-0.5374980501872263,-5.013918426653181,-4.8581502700429535
1769250031332,128,0,0.3047645607316891,-4.03815083025488,-4.00600069891587
1769250031336,129,1,1.0659833301806951,-3.080983710550603,-3.234564781898019
1769250031340,129,1,1.7897576426706463,-2.71281862898927,-2.500794656146215
1769250031344,130,2,2.5622959934671656,-1.891577652976521,-1.7183407729670936
1769250031348,131,3,3.430327074724498,-0.9712537356749258,-0.8403477424980461
1769250031352,132,4,4.337018276116884,-0.0333840016137407,0.0757867034335177
1769250031356,133,5,5.12948807186335,1.0295796485245512,0.8765211776830892
1769250031360,133,5,5.626258634244266,1.2296608898189476,1.3807652144829203
1769250031364,133,5,5.6880894626783665,1.2434670841748026,1.4506778453430216
1769250031368,133,5,5.255297052583129,0.931957493331416,1.0275748325797271
1769250031372,132,4,4.359712548738297,0.142702101804208,0.1428559758935241
1769250031376,131,3,3.126753910061673,-1.048874404343514,-1.0792786773088814
1769250031380,129,1,1.7551713527404842,-2.6354038305388023,-2.4407141251451776
1769250031384,128,0,0.4559120990697063,-3.7898177078805073,-3.730228892778453
1769250031388,127,-1,-0.6314078722984107,-5.042094392677673,-4.8079522048761385
1769250031392,126,-2,-1.4909455284702275,-5.732963272184448,-5.658523085512928
1769250031396,126,-2,-2.2140583505873357,-6.155389095118008,-6.373874024179099
1769250031400,124,-4,-2.9305759777327225,-7.3829136554811505,-7.083261203768651
1769250031404,124,-4,-3.739466274504479,-8.03476152212836,-7.883881988590165
1769250031408,123,-5,-4.671568457515777,-8.73055476849249,-8.805159778391085
1769250031412,122,-6,-5.6807130592439,-9.954015443584485,-9.801523295151338
1769250031416,121,-7,-6.652986559177738,-10.891863857827722,-10.761808157020674
1769250031420,120,-8,-7.43826591096364,-11.480747593675954,-11.538825083489805
1769250031424,120,-8,-7.909815993638184,-11.988735405092338,-12.00584354490224
1769250031428,119,-9,-8.036460495646928,-12.611443306628336,-12.1273783301594
1769250031432,120,-8,-7.919777971070078,-12.106895441514084,-11.999362943253653
1769250031436,120,-8,-7.745302867117354,-11.551215124889076,-11.80624966943496
1769250031440,120,-8,-7.662070488931057,-11.81106678066263,-11.70392786776624
1769250031444,120,-8,-7.694650697030818,-11.565566706339393,-11.72796182934315
1769250031448,120,-8,-7.787771255967642,-11.994269769507776,-11.828313203308126
1769250031452,119,-9,-7.94204540450062,-12.684771080156814,-11.997027074749228
1769250031456,119,-9,-8.236070390560478,-12.814091405171869,-12.293659851624223
1769250031460,119,-9,-8.543352316032413,-12.54962032160442,-12.577466341179717
1769250031464,121,-7,-8.049048695413006,-10.672992197264437,-12.03855491616987
1769250031468,124,-4,-5.077558045285746,-7.926661479873174,-9.024075170335951
1769250031472,129,1,2.1970365560932885,-2.596515151683489,-1.7312137264915126
1769250031476,140,12,14.202183718244507,8.131225275278826,10.261323438878
1769250031480,154,26,28.590575704535578,22.64853429551609,24.619118877599497
1769250031484,169,41,40.41762783834647,37.154618281182984,36.41820457146546
1769250031488,175,47,44.35422675998491,43.321314950148135,40.34626775392796
1769250031492,167,39,37.756522243592585,35.15331131981842,33.76753384843767
